Sample Date,Latitude,Longitude,Total Pieces/L ,,,
11/26/2014,25.76488333,-20.52791667,16,,,
11/26/2014,25.19,-18.60833333,8,,,
11/26/2014,24.591,-17.84916667,4,,,
11/26/2014,25.38,-18.59,0,,,
11/26/2014,26.47348333,-18.52875,0,,,
11/26/2014,27.21666667,-32.11666667,8,,,
11/26/2014,25.10598333,-19.5708,22,,,
11/26/2014,26.35166667,-18.7,18,,,
11/26/2014,25.43483333,-19.10833333,24,,,
11/26/2014,47.803319,-122.676269,0,,,
11/26/2014,25.63833333,-19.64,3,,,
11/26/2014,25.52366667,-20.86265,5,,,
11/26/2014,25.08641667,-18.41376667,10,,,
11/26/2014,25.16646667,-17.83526667,10,,,
11/26/2014,24.72916667,-19.29683333,26,,,
11/26/2014,17.01166667,-42.68833333,22,,,
11/27/2014,16.154,-47.87966667,60,,,
11/27/2014,15.89071667,-43.10345,4,,,
11/27/2014,15.88265,-44.42756667,3,,,
11/27/2014,15.98,-45.2,5,,,
11/27/2014,15.44721667,-44.96908333,10,,,
11/27/2014,16.4895,-47.21433333,2,,,
11/27/2014,15.26666667,-50.6,3,,,
11/27/2014,24.25666667,-20.63,6,,,
11/27/2014,24.28333333,-22.1,15,,,
11/27/2014,26.41483333,-25.07,6,,,
11/27/2014,24.51166667,-25.93833333,12,,,
11/27/2014,24.53375,-24.49555,10,,,
11/27/2014,25.60635,-23.66961667,4,,,
11/27/2014,25.4415,-23.65051667,5,,,
11/27/2014,23.8825,-21.5175,13,,,
11/27/2014,25.27583333,-23,14,,,
11/27/2014,24.23166667,-21.22166667,33,,,
11/27/2014,23.35,-21.67166667,1,,,
11/27/2014,23.72383333,-21.22766667,2,,,
11/27/2014,17.02881667,-46.42858333,23,,,
11/27/2014,15.75,-48.27,3,,,
11/27/2014,24.44478,-110.38126,2,,,
11/27/2014,24.44633,-110.37154,3,,,
11/27/2014,24.58333333,-21.65,21,,,
11/27/2014,23.783563,-22.70022,60,,,
11/28/2014,15.52,-48.025,4,,,
11/28/2014,15.63326667,-51.03251667,68,,,
11/28/2014,14.89611667,-50.92618333,2,,,
11/28/2014,15.93333333,-45.66666667,3,,,
11/28/2014,15.50336667,-52.455,2,,,
11/28/2014,22.49483333,-29.73416667,25,,,
11/28/2014,23.29866667,-27.369,24,,,
11/28/2014,23.36666667,-28.18333333,4,,,
11/28/2014,14.31541667,-59.53811667,35,,,
11/28/2014,21.22466667,-22.70683333,8,,,
11/28/2014,20.73105,-23.63223333,11,,,
11/28/2014,16.23198333,-49.0303,6,,,
11/28/2014,-17.75,168.3,0,,,
11/28/2014,37.533,5.7742,10,,,
11/28/2014,24.99333,-26.21167,24,,,
11/28/2014,15.58333333,-49.28333333,3,,,
11/28/2014,17.23833333,-48.91,4,,,
11/29/2014,14.46568333,-50.56018333,143,,,
11/29/2014,15.31983333,-50.41816667,2,,,
11/29/2014,15.18671667,-54.71373333,4,,,
11/29/2014,21.945,-26.34833333,5,,,
11/29/2014,22.2,-26.18,3,,,
11/29/2014,21.99245,-28.50413333,13,,,
11/29/2014,22.57166667,-25.13333333,119,,,
11/29/2014,20.673,-25.32733333,6,,,
11/29/2014,21.318,-28.0175,15,,,
11/29/2014,21.48168333,-32.70376667,6,,,
11/29/2014,15.1565,-51.1475,0,,,
11/29/2014,23.07576667,-30.05313333,8,,,
11/29/2014,24.37,-31.78166667,11,,,
11/29/2014,23.08,-31,3,,,
11/29/2014,29.53,-29.2,7,,,
11/29/2014,20.12353333,-27.66526667,13,,,
11/29/2014,21.72466667,-27.03566667,16,,,
11/29/2014,22.59148333,-31.70966667,8,,,
11/29/2014,22.38333333,-29.5,50,,,
11/29/2014,22.375,-28.42333333,0,,,
11/29/2014,21.17388333,-26.61033333,3,,,
11/29/2014,22.78333333,-32.48666667,36,,,
11/29/2014,21.27033333,-27.4669,0,,,
11/29/2014,21.8869,-29.55528333,7,,,
11/29/2014,21.2261,-24.5003,2,,,
11/29/2014,20.93083333,-27.19516667,2,,,
11/29/2014,21.46666667,-25.26666667,2,,,
11/29/2014,22.51266667,-26.7275,4,,,
11/29/2014,19.90383333,-24.992,243,,,
11/29/2014,20.8727,-34.7584,10,,,
11/29/2014,41.79,-69.93,1,,,
11/29/2014,19.136,-96.1015,1,,,
11/29/2014,58.473832,-3.100779,2,,,
11/29/2014,16.24183333,-48.62333333,37,,,
11/29/2014,21.14333333,-27.36166667,4,,,
11/29/2014,23.00553333,-29.57468333,7,,,
11/29/2014,18.83333333,-23.48333333,13,,,
11/29/2014,16.33583333,-48.56055556,4,,,
11/29/2014,16.03,-49.88166667,33,,,
11/29/2014,20.37431667,-26.70003333,11,,,
11/29/2014,20.20356667,-22.165,58,,,
11/29/2014,19.80616667,-25.21366667,165,,,
11/29/2014,20.04595,-22.34128333,75,,,
11/30/2014,14.65016667,-51.93333333,7,,,
11/30/2014,14.25,-56.83,4,,,
11/30/2014,14.19335,-56.83846667,2,,,
11/30/2014,22.67616667,-31.305,8,,,
11/30/2014,14.91178333,-58.68631667,2,,,
11/30/2014,14.1,-59.48333333,1,,,
11/30/2014,21.31,-28.02,6,,,
11/30/2014,21.55,-29.83333333,8,,,
11/30/2014,23.51666667,-35.61666667,4,,,
11/30/2014,22.61865,-26.3271,10,,,
11/30/2014,20.72666667,-28.35166667,18,,,
11/30/2014,20.89306667,-28.1017,6,,,
11/30/2014,20.90966667,-35.03066667,21,,,
11/30/2014,18.7815,-27.416,25,,,
11/30/2014,20.01471667,-28.87805,33,,,
11/30/2014,21.70283333,-32.52633333,2,,,
11/30/2014,22.49133333,-29.36183333,8,,,
11/30/2014,15.0295,-55.487,43,,,
11/30/2014,15.88,-53.56283333,3,,,
12/1/2014,15.18333333,-52.21666667,2,,,
12/1/2014,21.52556667,-36.05666667,0,,,
12/1/2014,14.72283333,-54.846,4,,,
12/1/2014,19.79396667,-39.02778333,8,,,
12/1/2014,14.41563333,-60.4058,6,,,
12/1/2014,14.11666667,-60.91666667,0,,,
12/1/2014,22.48616667,-26.21683333,22,,,
12/1/2014,22.89,-38.7475,10,,,
12/1/2014,18.24285,-29.14131667,11,,,
12/1/2014,14.87351667,-53.51941667,0,,,
12/1/2014,18.56618333,-29.6928,40,,,
12/1/2014,15.4095,-55.187,0,,,
12/1/2014,20.57,-37.58,2,,,
12/1/2014,22.2,-35.78,7,,,
12/1/2014,14.76666667,-56.28333333,0,,,
12/1/2014,15.02333333,-56.81666667,1,,,
12/2/2014,13.87251667,-54.64131667,2,,,
12/2/2014,23.03333333,-36.63333333,1,,,
12/2/2014,14.45833333,-57.08166667,3,,,
12/2/2014,20.58666667,-33.88,3,,,
12/2/2014,20.27,-34.15,1,,,
12/2/2014,14.16156667,-59.83366667,6,,,
12/2/2014,20.48566667,-37.36616667,5,,,
12/2/2014,21.85666667,-40.355,14,,,
12/2/2014,13.70485,-53.60666667,13,,,
12/2/2014,20.91146667,-35.97096667,10,,,
12/2/2014,20.68333333,-35.21666667,28,,,
12/2/2014,19.27163333,-39.68005,12,,,
12/2/2014,19.68883333,-35.70815,29,,,
12/2/2014,14.47666667,-59.06,3,,,
12/2/2014,21.50531667,-36.78876667,5,,,
12/2/2014,20.83928333,-34.3761,7,,,
12/2/2014,19.225,-31.60666667,11,,,
12/2/2014,14.06909667,-61.00966667,8,,,
12/2/2014,17.707,-31.39166667,1,,,
12/2/2014,20.6,-33.51666667,6,,,
12/2/2014,19.93366667,-42.08496667,16,,,
12/2/2014,19.2,-41.78333333,38,,,
12/2/2014,20.26921667,-31.32838333,2,,,
12/2/2014,17.94898333,-33.89238333,1,,,
12/2/2014,20.75833333,-37.31,5,,,
12/2/2014,21.35166667,-32.56166667,54,,,
12/2/2014,19.97783333,-38.28505,6,,,
12/2/2014,20.36944444,-35.275,1,,,
12/2/2014,20.03421667,-37.62073333,64,,,
12/2/2014,15.157222,-109.59,0,,,
12/2/2014,47.1722,-122.603,19,,,
12/2/2014,47.2972,-122.4301,32,,,
12/2/2014,21.01851667,-37.79991667,6,,,
12/2/2014,21.21093333,-27.45345,1,,,
12/2/2014,19.81833333,-36.20833333,3,,,
12/2/2014,14.99466667,-54.46416667,75,,,
12/2/2014,18.94551667,-29.60133333,3,,,
12/2/2014,14.82875,-58.0586,3,,,
12/3/2014,18.59225,-40.64,108,,,
12/3/2014,20.3775,-40.39066667,33,,,
12/3/2014,19.46666667,-44.21666667,0,,,
12/3/2014,19.84816667,-35.13516667,10,,,
12/3/2014,14.11983333,-60.8745,0,,,
12/3/2014,21.00483333,-31.76603333,28,,,
12/3/2014,19.73333333,-43.11666667,5,,,
12/3/2014,21.06983333,-37.076,10,,,
12/3/2014,20.01,-38.22,22,,,
12/3/2014,17.9376,-37.34746667,3,,,
12/3/2014,18.88495,-35.85036667,9,,,
12/3/2014,13.82833333,-58.9175,10,,,
12/3/2014,19.45,-45.07666667,60,,,
12/3/2014,14.30388333,-59.83926667,6,,,
12/3/2014,20.24103333,-40.73505,28,,,
12/3/2014,14.4365,-58.66233333,28,,,
12/3/2014,19.35,-44.05,6,,,
12/3/2014,20.31666667,-36.33333333,14,,,
12/3/2014,18.78883333,-38.3155,38,,,
12/3/2014,19.09606667,-30.27738333,139,,,
12/3/2014,18.4875,-35.67416667,27,,,
12/4/2014,18.35753333,-45.79335,3,,,
12/4/2014,17.95085,-43.92333333,47,,,
12/4/2014,14.1,-58.1,0,,,
12/4/2014,17.87521667,-45.87501667,16,,,
12/4/2014,17.08133333,-28.11183333,6,,,
12/4/2014,20.6485,-40.32128333,49,,,
12/4/2014,17.59833333,-36.63333333,20,,,
12/4/2014,17.58728333,-46.47501667,0,,,
12/4/2014,18.73283333,-35.67933333,0,,,
12/4/2014,17.40416667,-48.82516667,11,,,
12/4/2014,17.32508333,-42.49395,3,,,
12/4/2014,17.46166667,-48.46166667,45,,,
12/4/2014,17.34633333,-36.238,5,,,
12/4/2014,20.00083333,-45.5125,15,,,
12/4/2014,18.77916667,-47.456,6,,,
12/4/2014,14.22866667,-59.44453333,3,,,
12/4/2014,17.279,-44.10783333,11,,,
12/4/2014,16.58113333,-41.00536667,0,,,
12/4/2014,18.61666667,-47.86666667,8,,,
12/4/2014,26.75014,-77.31677,17,,,
12/4/2014,47.3001,-122.5335,5,,,
